"Team","Unique_Identfier"
"Abilene Christian",1
"Air Force",2
"Akron",3
"Alabama",4
"Alabama A&M",5
"Alabama St.",6
"Albany",7
"Alcorn St.",8
"American",9
"Appalachian St.",10
"Arizona",11
"Arizona St.",12
"Arkansas",13
"Arkansas Little Rock",14
"Arkansas Pine Bluff",15
"Arkansas St.",16
"Army",17
"Auburn",18
"Austin Peay",19
"Ball St.",20
"Baylor",21
"Belmont",22
"Bethune Cookman",23
"Binghamton",24
"Birmingham Southern",25
"Boise St.",26
"Boston College",27
"Boston University",28
"Bowling Green",29
"Bradley",30
"Brown",31
"Bryant",32
"Bucknell",33
"Buffalo",34
"Butler",35
"BYU",36
"Cal Baptist",37
"Cal Poly",38
"Cal St. Bakersfield",39
"Cal St. Fullerton",40
"Cal St. Northridge",41
"California",42
"Campbell",43
"Canisius",44
"Centenary",45
"Central Arkansas",46
"Central Connecticut",47
"Central Michigan",48
"Charleston",49
"Charleston Southern",50
"Charlotte",51
"Chattanooga",52
"Chicago St.",53
"Cincinnati",54
"Clemson",55
"Cleveland St.",56
"Coastal Carolina",57
"Colgate",58
"College of Charleston",59
"Colorado",60
"Colorado St.",61
"Columbia",62
"Connecticut",63
"Coppin St.",64
"Cornell",65
"Creighton",66
"Dartmouth",67
"Davidson",68
"Dayton",69
"Delaware",70
"Delaware St.",71
"Denver",72
"DePaul",73
"Detroit",74
"Drake",75
"Drexel",76
"Duke",77
"Duquesne",78
"East Carolina",79
"East Tennessee St.",80
"Eastern Illinois",81
"Eastern Kentucky",82
"Eastern Michigan",83
"Eastern Washington",84
"Elon",85
"Evansville",86
"Fairfield",87
"Fairleigh Dickinson",88
"FIU",89
"Florida",90
"Florida A&M",91
"Florida Atlantic",92
"Florida Gulf Coast",93
"Florida St.",94
"Fordham",95
"Fort Wayne",96
"Fresno St.",97
"Furman",98
"Gardner Webb",99
"George Mason",100
"George Washington",101
"Georgetown",102
"Georgia",103
"Georgia Southern",104
"Georgia St.",105
"Georgia Tech",106
"Gonzaga",107
"Grambling St.",108
"Grand Canyon",109
"Green Bay",110
"Hampton",111
"Hartford",112
"Harvard",113
"Hawaii",114
"High Point",115
"Hofstra",116
"Holy Cross",117
"Houston",118
"Houston Baptist",119
"Howard",120
"Idaho",121
"Idaho St.",122
"Illinois",123
"Illinois Chicago",124
"Illinois St.",125
"Incarnate Word",126
"Indiana",127
"Indiana St.",128
"Iona",129
"Iowa",130
"Iowa St.",131
"IPFW",132
"IUPUI",133
"Jackson St.",134
"Jacksonville",135
"Jacksonville St.",136
"James Madison",137
"Kansas",138
"Kansas St.",139
"Kennesaw St.",140
"Kent St.",141
"Kentucky",142
"La Salle",143
"Lafayette",144
"Lamar",145
"Lehigh",146
"Liberty",147
"Lipscomb",148
"Little Rock",149
"LIU Brooklyn",150
"Long Beach St.",151
"Longwood",152
"Louisiana",153
"Louisiana Lafayette",154
"Louisiana Monroe",155
"Louisiana Tech",156
"Louisville",157
"Loyola Chicago",158
"Loyola Marymount",159
"Loyola MD",160
"LSU",161
"Maine",162
"Manhattan",163
"Marist",164
"Marquette",165
"Marshall",166
"Maryland",167
"Maryland Eastern Shore",168
"Massachusetts",169
"McNeese St.",170
"Memphis",171
"Mercer",172
"Miami FL",173
"Miami OH",174
"Michigan",175
"Michigan St.",176
"Middle Tennessee",177
"Middle Tennessee St.",178
"Milwaukee",179
"Minnesota",180
"Mississippi",181
"Mississippi St.",182
"Mississippi Valley St.",183
"Missouri",184
"Missouri St.",185
"Monmouth",186
"Montana",187
"Montana St.",188
"Morehead St.",189
"Morgan St.",190
"Morris Brown",191
"Mount St. Mary's",192
"Murray St.",193
"N.C. State",194
"Navy",195
"Nebraska",196
"Nebraska Omaha",197
"Nevada",198
"New Hampshire",199
"New Mexico",200
"New Mexico St.",201
"New Orleans",202
"Niagara",203
"Nicholls St.",204
"NJIT",205
"Norfolk St.",206
"North Alabama",207
"North Carolina",208
"North Carolina A&T",209
"North Carolina Central",210
"North Dakota",211
"North Dakota St.",212
"North Florida",213
"North Texas",214
"Northeastern",215
"Northern Arizona",216
"Northern Colorado",217
"Northern Illinois",218
"Northern Iowa",219
"Northern Kentucky",220
"Northwestern",221
"Northwestern St.",222
"Notre Dame",223
"Oakland",224
"Ohio",225
"Ohio St.",226
"Oklahoma",227
"Oklahoma St.",228
"Old Dominion",229
"Oral Roberts",230
"Oregon",231
"Oregon St.",232
"Pacific",233
"Penn",234
"Penn St.",235
"Pepperdine",236
"Pittsburgh",237
"Portland",238
"Portland St.",239
"Prairie View A&M",240
"Presbyterian",241
"Princeton",242
"Providence",243
"Purdue",244
