"Team","Unique_Identfier","Year","Year_Index","Link_Name","Link","New_Name","Schedule_Name"
"Abilene Christian",1,2014,"2014_1","Abilene+Christian","Abilene+Christian","Abilene _Christian","Abilene _Christian_2014_Schedule"
"Abilene Christian",1,2015,"2015_1","Abilene+Christian","Abilene+Christian","Abilene _Christian","Abilene _Christian_2015_Schedule"
"Abilene Christian",1,2016,"2016_1","Abilene+Christian","Abilene+Christian","Abilene _Christian","Abilene _Christian_2016_Schedule"
"Abilene Christian",1,2017,"2017_1","Abilene+Christian","Abilene+Christian","Abilene _Christian","Abilene _Christian_2017_Schedule"
"Abilene Christian",1,2018,"2018_1","Abilene+Christian","Abilene+Christian","Abilene _Christian","Abilene _Christian_2018_Schedule"
"Abilene Christian",1,2019,"2019_1","Abilene+Christian","Abilene+Christian","Abilene _Christian","Abilene _Christian_2019_Schedule"
"Air Force",2,2002,"2002_2","Air+Force","Air+Force","Air _Force","Air _Force_2002_Schedule"
"Air Force",2,2003,"2003_2","Air+Force","Air+Force","Air _Force","Air _Force_2003_Schedule"
"Air Force",2,2004,"2004_2","Air+Force","Air+Force","Air _Force","Air _Force_2004_Schedule"
"Air Force",2,2005,"2005_2","Air+Force","Air+Force","Air _Force","Air _Force_2005_Schedule"
"Air Force",2,2006,"2006_2","Air+Force","Air+Force","Air _Force","Air _Force_2006_Schedule"
"Air Force",2,2007,"2007_2","Air+Force","Air+Force","Air _Force","Air _Force_2007_Schedule"
"Air Force",2,2008,"2008_2","Air+Force","Air+Force","Air _Force","Air _Force_2008_Schedule"
"Air Force",2,2009,"2009_2","Air+Force","Air+Force","Air _Force","Air _Force_2009_Schedule"
"Air Force",2,2010,"2010_2","Air+Force","Air+Force","Air _Force","Air _Force_2010_Schedule"
"Air Force",2,2011,"2011_2","Air+Force","Air+Force","Air _Force","Air _Force_2011_Schedule"
"Air Force",2,2012,"2012_2","Air+Force","Air+Force","Air _Force","Air _Force_2012_Schedule"
"Air Force",2,2013,"2013_2","Air+Force","Air+Force","Air _Force","Air _Force_2013_Schedule"
"Air Force",2,2014,"2014_2","Air+Force","Air+Force","Air _Force","Air _Force_2014_Schedule"
