"","Team","link","year_2019","year_2018","year_2017","year_2016","year_2015","year_2014","year_2013","year_2012","year_2011","year_2010","year_2009","year_2008","year_2007","year_2006","year_2005","year_2004","year_2003","year_2002"
"1","Kansas","Kansas","Kansas_2019","Kansas_2018","Kansas_2017","Kansas_2016","Kansas_2015","Kansas_2014","Kansas_2013","Kansas_2012","Kansas_2011","Kansas_2010","Kansas_2009","Kansas_2008","Kansas_2007","Kansas_2006","Kansas_2005","Kansas_2004","Kansas_2003","Kansas_2002"
"2","Duke","Duke","Duke_2019","Duke_2018","Duke_2017","Duke_2016","Duke_2015","Duke_2014","Duke_2013","Duke_2012","Duke_2011","Duke_2010","Duke_2009","Duke_2008","Duke_2007","Duke_2006","Duke_2005","Duke_2004","Duke_2003","Duke_2002"
"3","Baylor","Baylor","Baylor_2019","Baylor_2018","Baylor_2017","Baylor_2016","Baylor_2015","Baylor_2014","Baylor_2013","Baylor_2012","Baylor_2011","Baylor_2010","Baylor_2009","Baylor_2008","Baylor_2007","Baylor_2006","Baylor_2005","Baylor_2004","Baylor_2003","Baylor_2002"
"4","San Diego St.","San+Diego+St.","San_Diego_St_2019","San_Diego_St_2018","San_Diego_St_2017","San_Diego_St_2016","San_Diego_St_2015","San_Diego_St_2014","San_Diego_St_2013","San_Diego_St_2012","San_Diego_St_2011","San_Diego_St_2010","San_Diego_St_2009","San_Diego_St_2008","San_Diego_St_2007","San_Diego_St_2006","San_Diego_St_2005","San_Diego_St_2004","San_Diego_St_2003","San_Diego_St_2002"
"5","Gonzaga","Gonzaga","Gonzaga_2019","Gonzaga_2018","Gonzaga_2017","Gonzaga_2016","Gonzaga_2015","Gonzaga_2014","Gonzaga_2013","Gonzaga_2012","Gonzaga_2011","Gonzaga_2010","Gonzaga_2009","Gonzaga_2008","Gonzaga_2007","Gonzaga_2006","Gonzaga_2005","Gonzaga_2004","Gonzaga_2003","Gonzaga_2002"
"6","Dayton","Dayton","Dayton_2019","Dayton_2018","Dayton_2017","Dayton_2016","Dayton_2015","Dayton_2014","Dayton_2013","Dayton_2012","Dayton_2011","Dayton_2010","Dayton_2009","Dayton_2008","Dayton_2007","Dayton_2006","Dayton_2005","Dayton_2004","Dayton_2003","Dayton_2002"
"7","West Virginia","West+Virginia","West_Virginia_2019","West_Virginia_2018","West_Virginia_2017","West_Virginia_2016","West_Virginia_2015","West_Virginia_2014","West_Virginia_2013","West_Virginia_2012","West_Virginia_2011","West_Virginia_2010","West_Virginia_2009","West_Virginia_2008","West_Virginia_2007","West_Virginia_2006","West_Virginia_2005","West_Virginia_2004","West_Virginia_2003","West_Virginia_2002"
"8","Louisville","Louisville","Louisville_2019","Louisville_2018","Louisville_2017","Louisville_2016","Louisville_2015","Louisville_2014","Louisville_2013","Louisville_2012","Louisville_2011","Louisville_2010","Louisville_2009","Louisville_2008","Louisville_2007","Louisville_2006","Louisville_2005","Louisville_2004","Louisville_2003","Louisville_2002"
"9","Michigan St.","Michigan+St.","Michigan_St_2019","Michigan_St_2018","Michigan_St_2017","Michigan_St_2016","Michigan_St_2015","Michigan_St_2014","Michigan_St_2013","Michigan_St_2012","Michigan_St_2011","Michigan_St_2010","Michigan_St_2009","Michigan_St_2008","Michigan_St_2007","Michigan_St_2006","Michigan_St_2005","Michigan_St_2004","Michigan_St_2003","Michigan_St_2002"
"10","Maryland","Maryland","Maryland_2019","Maryland_2018","Maryland_2017","Maryland_2016","Maryland_2015","Maryland_2014","Maryland_2013","Maryland_2012","Maryland_2011","Maryland_2010","Maryland_2009","Maryland_2008","Maryland_2007","Maryland_2006","Maryland_2005","Maryland_2004","Maryland_2003","Maryland_2002"
"11","Arizona","Arizona","Arizona_2019","Arizona_2018","Arizona_2017","Arizona_2016","Arizona_2015","Arizona_2014","Arizona_2013","Arizona_2012","Arizona_2011","Arizona_2010","Arizona_2009","Arizona_2008","Arizona_2007","Arizona_2006","Arizona_2005","Arizona_2004","Arizona_2003","Arizona_2002"
"12","Ohio St.","Ohio+St.","Ohio_St_2019","Ohio_St_2018","Ohio_St_2017","Ohio_St_2016","Ohio_St_2015","Ohio_St_2014","Ohio_St_2013","Ohio_St_2012","Ohio_St_2011","Ohio_St_2010","Ohio_St_2009","Ohio_St_2008","Ohio_St_2007","Ohio_St_2006","Ohio_St_2005","Ohio_St_2004","Ohio_St_2003","Ohio_St_2002"
"13","Seton Hall","Seton+Hall","Seton_Hall_2019","Seton_Hall_2018","Seton_Hall_2017","Seton_Hall_2016","Seton_Hall_2015","Seton_Hall_2014","Seton_Hall_2013","Seton_Hall_2012","Seton_Hall_2011","Seton_Hall_2010","Seton_Hall_2009","Seton_Hall_2008","Seton_Hall_2007","Seton_Hall_2006","Seton_Hall_2005","Seton_Hall_2004","Seton_Hall_2003","Seton_Hall_2002"
"14","Penn St.","Penn+St.","Penn_St_2019","Penn_St_2018","Penn_St_2017","Penn_St_2016","Penn_St_2015","Penn_St_2014","Penn_St_2013","Penn_St_2012","Penn_St_2011","Penn_St_2010","Penn_St_2009","Penn_St_2008","Penn_St_2007","Penn_St_2006","Penn_St_2005","Penn_St_2004","Penn_St_2003","Penn_St_2002"
"15","BYU","BYU","BYU_2019","BYU_2018","BYU_2017","BYU_2016","BYU_2015","BYU_2014","BYU_2013","BYU_2012","BYU_2011","BYU_2010","BYU_2009","BYU_2008","BYU_2007","BYU_2006","BYU_2005","BYU_2004","BYU_2003","BYU_2002"
"16","Butler","Butler","Butler_2019","Butler_2018","Butler_2017","Butler_2016","Butler_2015","Butler_2014","Butler_2013","Butler_2012","Butler_2011","Butler_2010","Butler_2009","Butler_2008","Butler_2007","Butler_2006","Butler_2005","Butler_2004","Butler_2003","Butler_2002"
"17","Purdue","Purdue","Purdue_2019","Purdue_2018","Purdue_2017","Purdue_2016","Purdue_2015","Purdue_2014","Purdue_2013","Purdue_2012","Purdue_2011","Purdue_2010","Purdue_2009","Purdue_2008","Purdue_2007","Purdue_2006","Purdue_2005","Purdue_2004","Purdue_2003","Purdue_2002"
"18","Florida St.","Florida+St.","Florida_St_2019","Florida_St_2018","Florida_St_2017","Florida_St_2016","Florida_St_2015","Florida_St_2014","Florida_St_2013","Florida_St_2012","Florida_St_2011","Florida_St_2010","Florida_St_2009","Florida_St_2008","Florida_St_2007","Florida_St_2006","Florida_St_2005","Florida_St_2004","Florida_St_2003","Florida_St_2002"
"19","Iowa","Iowa","Iowa_2019","Iowa_2018","Iowa_2017","Iowa_2016","Iowa_2015","Iowa_2014","Iowa_2013","Iowa_2012","Iowa_2011","Iowa_2010","Iowa_2009","Iowa_2008","Iowa_2007","Iowa_2006","Iowa_2005","Iowa_2004","Iowa_2003","Iowa_2002"
"20","Colorado","Colorado","Colorado_2019","Colorado_2018","Colorado_2017","Colorado_2016","Colorado_2015","Colorado_2014","Colorado_2013","Colorado_2012","Colorado_2011","Colorado_2010","Colorado_2009","Colorado_2008","Colorado_2007","Colorado_2006","Colorado_2005","Colorado_2004","Colorado_2003","Colorado_2002"
"21","Oregon","Oregon","Oregon_2019","Oregon_2018","Oregon_2017","Oregon_2016","Oregon_2015","Oregon_2014","Oregon_2013","Oregon_2012","Oregon_2011","Oregon_2010","Oregon_2009","Oregon_2008","Oregon_2007","Oregon_2006","Oregon_2005","Oregon_2004","Oregon_2003","Oregon_2002"
"22","Texas Tech","Texas+Tech","Texas_Tech_2019","Texas_Tech_2018","Texas_Tech_2017","Texas_Tech_2016","Texas_Tech_2015","Texas_Tech_2014","Texas_Tech_2013","Texas_Tech_2012","Texas_Tech_2011","Texas_Tech_2010","Texas_Tech_2009","Texas_Tech_2008","Texas_Tech_2007","Texas_Tech_2006","Texas_Tech_2005","Texas_Tech_2004","Texas_Tech_2003","Texas_Tech_2002"
"23","Villanova","Villanova","Villanova_2019","Villanova_2018","Villanova_2017","Villanova_2016","Villanova_2015","Villanova_2014","Villanova_2013","Villanova_2012","Villanova_2011","Villanova_2010","Villanova_2009","Villanova_2008","Villanova_2007","Villanova_2006","Villanova_2005","Villanova_2004","Villanova_2003","Villanova_2002"
"24","Illinois","Illinois","Illinois_2019","Illinois_2018","Illinois_2017","Illinois_2016","Illinois_2015","Illinois_2014","Illinois_2013","Illinois_2012","Illinois_2011","Illinois_2010","Illinois_2009","Illinois_2008","Illinois_2007","Illinois_2006","Illinois_2005","Illinois_2004","Illinois_2003","Illinois_2002"
"25","Houston","Houston","Houston_2019","Houston_2018","Houston_2017","Houston_2016","Houston_2015","Houston_2014","Houston_2013","Houston_2012","Houston_2011","Houston_2010","Houston_2009","Houston_2008","Houston_2007","Houston_2006","Houston_2005","Houston_2004","Houston_2003","Houston_2002"
"26","Creighton","Creighton","Creighton_2019","Creighton_2018","Creighton_2017","Creighton_2016","Creighton_2015","Creighton_2014","Creighton_2013","Creighton_2012","Creighton_2011","Creighton_2010","Creighton_2009","Creighton_2008","Creighton_2007","Creighton_2006","Creighton_2005","Creighton_2004","Creighton_2003","Creighton_2002"
"27","Rutgers","Rutgers","Rutgers_2019","Rutgers_2018","Rutgers_2017","Rutgers_2016","Rutgers_2015","Rutgers_2014","Rutgers_2013","Rutgers_2012","Rutgers_2011","Rutgers_2010","Rutgers_2009","Rutgers_2008","Rutgers_2007","Rutgers_2006","Rutgers_2005","Rutgers_2004","Rutgers_2003","Rutgers_2002"
"28","Michigan","Michigan","Michigan_2019","Michigan_2018","Michigan_2017","Michigan_2016","Michigan_2015","Michigan_2014","Michigan_2013","Michigan_2012","Michigan_2011","Michigan_2010","Michigan_2009","Michigan_2008","Michigan_2007","Michigan_2006","Michigan_2005","Michigan_2004","Michigan_2003","Michigan_2002"
"29","Auburn","Auburn","Auburn_2019","Auburn_2018","Auburn_2017","Auburn_2016","Auburn_2015","Auburn_2014","Auburn_2013","Auburn_2012","Auburn_2011","Auburn_2010","Auburn_2009","Auburn_2008","Auburn_2007","Auburn_2006","Auburn_2005","Auburn_2004","Auburn_2003","Auburn_2002"
"30","Marquette","Marquette","Marquette_2019","Marquette_2018","Marquette_2017","Marquette_2016","Marquette_2015","Marquette_2014","Marquette_2013","Marquette_2012","Marquette_2011","Marquette_2010","Marquette_2009","Marquette_2008","Marquette_2007","Marquette_2006","Marquette_2005","Marquette_2004","Marquette_2003","Marquette_2002"
"31","Saint Mary's","Saint+Mary%27s","Saint_Mary's_2019","Saint_Mary's_2018","Saint_Mary's_2017","Saint_Mary's_2016","Saint_Mary's_2015","Saint_Mary's_2014","Saint_Mary's_2013","Saint_Mary's_2012","Saint_Mary's_2011","Saint_Mary's_2010","Saint_Mary's_2009","Saint_Mary's_2008","Saint_Mary's_2007","Saint_Mary's_2006","Saint_Mary's_2005","Saint_Mary's_2004","Saint_Mary's_2003","Saint_Mary's_2002"
"32","Minnesota","Minnesota","Minnesota_2019","Minnesota_2018","Minnesota_2017","Minnesota_2016","Minnesota_2015","Minnesota_2014","Minnesota_2013","Minnesota_2012","Minnesota_2011","Minnesota_2010","Minnesota_2009","Minnesota_2008","Minnesota_2007","Minnesota_2006","Minnesota_2005","Minnesota_2004","Minnesota_2003","Minnesota_2002"
